category,group,name,name,default,shortDesc,longDesc,type,max,min,units,decimalPlaces,values,rebootRequired,bitmask,volatile,increment
Standard,UAVCAN Motor Parameters,ctl_bw,CTL_BW,75,Speed controller bandwidth,"Speed controller bandwidth, in Hz. Higher values result in faster speed and current rise times, but may result in overshoot and higher current consumption. For fixed-wing aircraft, this value should be less than 50 Hz; for multirotors, values up to 100 Hz may provide improvements in responsiveness.",Int32,250,10,Hz,,,FALSE,,FALSE,
Standard,UAVCAN Motor Parameters,ctl_dir,CTL_DIR,1,Reverse direction,Motor spin direction as detected during initial enumeration. Use 0 or 1 to reverse direction.,Int32,1,0,,,,FALSE,,FALSE,
Standard,UAVCAN Motor Parameters,ctl_gain,CTL_GAIN,1,Speed (RPM) controller gain,"Speed (RPM) controller gain. Determines controller
aggressiveness; units are amp-seconds per radian. Systems with
higher rotational inertia (large props) will need gain increased;
systems with low rotational inertia (small props) may need gain
decreased. Higher values result in faster response, but may result
in oscillation and excessive overshoot. Lower values result in a
slower, smoother response.",Float,1,0,C/rad,3,,FALSE,,FALSE,
Standard,UAVCAN Motor Parameters,ctl_hz_idle,CTL_HZ_IDLE,3.5,Idle speed (e Hz),Idle speed (e Hz),Float,100,0,Hz,3,,FALSE,,FALSE,
Standard,UAVCAN Motor Parameters,ctl_start_rate,CTL_START_RATE,25,Spin-up rate (e Hz/s),Spin-up rate (e Hz/s),Int32,1000,5,1/s^2,,,FALSE,,FALSE,
Standard,UAVCAN Motor Parameters,esc_index,ESC_INDEX,0,Index of this ESC in throttle command messages.,Index of this ESC in throttle command messages.,Int32,15,0,,,,FALSE,,FALSE,
Standard,UAVCAN Motor Parameters,id_ext_status,ID_EXT_STATUS,20034,Extended status ID,Extended status ID,Int32,1000000,1,,,,FALSE,,FALSE,
Standard,UAVCAN Motor Parameters,int_ext_status,INT_EXT_STATUS,50000,Extended status interval (µs),Extended status interval (µs),Int32,1000000,0,us,,,FALSE,,FALSE,
Standard,UAVCAN Motor Parameters,int_status,INT_STATUS,50000,ESC status interval (µs),ESC status interval (µs),Int32,1000000,,us,,,FALSE,,FALSE,
Standard,UAVCAN Motor Parameters,mot_i_max,MOT_I_MAX,12,Motor current limit in amps,"Motor current limit in amps. This determines the maximum
current controller setpoint, as well as the maximum allowable
current setpoint slew rate. This value should generally be set to
the continuous current rating listed in the motor’s specification
sheet, or set equal to the motor’s specified continuous power
divided by the motor voltage limit.",Float,80,1,A,3,,FALSE,,FALSE,
Standard,UAVCAN Motor Parameters,mot_kv,MOT_KV,2300,Motor Kv in RPM per volt,"Motor Kv in RPM per volt. This can be taken from the motor’s
specification sheet; accuracy will help control performance but
some deviation from the specified value is acceptable.",Int32,4000,0,rpm/V,,,FALSE,,FALSE,
Standard,UAVCAN Motor Parameters,mot_ls,MOT_LS,0,READ ONLY: Motor inductance in henries.,READ ONLY: Motor inductance in henries. This is measured on start-up.,Float,,,H,3,,FALSE,,FALSE,
